German	Spanish
wenn du krank bist, muss du zum Arzt gehen	 si estás enfermo tienes que ir a un doctor
schmerzen	 doler
der Schmerz	 el dolor
ich habe Kopfschmerzen	 tengo dolor de cabeza
der Sonntag	 domingo
sonntags	 los domingos
nächsten Sonntag	 el próximo domingo
nächsten Sonntag	 el domingo que viene
letzten Sonntag	 el domingo pasado
jeden Sonntag / sonntags	 cada domingo
wo?	 ¿dónde?
wo sind Sie?	 ¿dónde está Vd.?
woher kommen Sie?	 ¿de dónde viene Vd.?
schlafen	 dormir
er schlief ein	 se durmió
der Schlaf/der Traum	 el sueño
das Schlafzimmer	 el dormitorio
Juan schläft im Schlafzimmer	 Juan duerme en el dormitorio
zwei	 dos
ich habe zwei Autos	 tengo dos coches
zweihundert	 doscientos
ich habe zweihundert Euro ausgegeben	 he gastado doscientos euros
die Dusche	 la ducha
duschen	 tomar una ducha
(be)zweifeln	 dudar
ich bezweifle, dass er kommt	 dudo que venga
der Zweifel	 la duda
ohne Zweifel	 sin duda
es besteht kein Zweifel	 no cabe duda
während	 durante
während des Krieges	 durante la guerra
hart/schwer	 duro
hart arbeiten	 trabajar duro
und	 e (vor i, hi)
Maria und Isabel	 María e Isabel
(weg)werfen	 echar
ich warf einen Stein an das Fenster	 eché una piedra a la ventana
das Gebäude	 el edificio
das ist das modernste Gebäude in der ganzen Stadt	 esto es el edificio más moderno de toda la ciudad
das Beispiel	 el ejemplo
zum Beispiel	 por ejemplo
die Übung	 el ejercicio
wir müssen diese Übungen bis morgen machen	 tenemos que hacer estos ejercicios hasta mañana
der/die/das	 el/la
die Uhr	 el reloj
das Haus	 la casa
der Tisch	 la mesa
beginnen/anfangen	 empezar
er beginnt zu essen	 empieza a comer
in	 en
in Spanien	 en España
in einer Stunde	 en una hora
im Jahr 2006, 2006	 en 2006
auf Spanisch	 en español
sofort	 en seguida
mach sofort deine Hausaufgaben	 haz los deberes en seguida
sehr erfreut!	 ¡encantado!
sehr erfreut Sie kennen zu lernen	 encantado de conocerle
auf, über	 encima
auf dem Tisch	 encima de la mesa
treffen, finden	 encontrar
wir treffen uns manchmal	 a veces nos encontramos
hat er den Schlüssel gefunden?	 ¿ha encontrado la llave?
ich finde es schwierig	 lo encuentro difícil
die Begegnung, das Treffen	 el encuentro
der Januar	 el enero
im Januar	 en enero
am 1./der 1. Januar	 el primero/uno de enero
der 15./am 15. Januar	 el quince de enero
sich ärgern	 enfadarse
ich ärgere mich immer über seine Frau	 me enfando siempre con su esposa
der Ärger, der Zorn	 el enfado
krank	 enfermo
er ist krank	 está enfermo
er wurde krank	 cayó/se puso enfermo
die Krankheit	 la enfermedad
gegenüber	 enferente
gegenüber dem Haus	 enferente de la casa
ab-, ausspülen	 enjuagar
das Geschirr spülen	 enjuagar la vasija
(sich) ärgern	 enojar(se)
ich ärgere mich immer über seine Frau	 me enojo siempre con su esposa
der Ärger, der Zorn	 el enojo
ärgerlich	 enojoso
begreifen, verstehen	 entender
ich habe kein Wort verstanden	 no he entendido ni una palabra
ich verstehe das nicht	 no lo entiendo
nach meiner Meinung	 a mi entender
dann	 entonces
bis dahin	 hasta entonces
seit damals	 desde entonces
eintreten, hineingehen	 entrar
er trat ins Zimmer	 entró en el cuarto
der Eingang	 la entrada
zwischen	 entre
zwischen uns beiden	 entre tú y yo
zwischen drei und fünf	 entre a las tres y las cinco
(ab)senden, verschicken	 enviar
hast du den Brief an Juan geschickt?	 ¿has enviado la carta a Juan?
mit der Post schicken	 enviar por correo
das Gepäck	 el equipaje
das Gepäck aufgeben	 facturar el equipaje
das Handgepäck	 el equipaje de mano
der Fehler, der Irrtum	 el error
irrtümlicherweise	 por error
einen Fehler begehen	 cometer un error
die Treppe	 la escalera
die Treppe hinaufgehen	 subir la escalera
die Treppe hinuntergehen	 bajar la escalera
auswählen, aussuchen	 escoger
ich habe das rote Auto ausgewählt	 he escogido el coche rojo
zwischen zwei Dingen wählen	 escoger entre dos cosas
verstecken	 esconder
er hat das Geld versteckt	 ha escondido el dinero
er hat sich vor seinem Vater versteckt	 ha escondido de su padre
schreiben	 escribir
hast du den Brief an Juan geschrieben?	 ¿has escrito la carta a Juan?
(an-, zu)hören	 escuchar
hör mir zu!	 ¡escúchame!
die Schule	 la escuela
in die Schule gehen	 ir a la escuela
jene(r,s)	 ese (m.sg.) esa (f.sg.) esos (m.pl.) esas (f.pl.)
jener Mann, jene Männer	 ese hombre, esos hombres
jene Frau, jene Frauen	 esa mujer, esas mujeres
jene Buch, jene Bücher	 ese libro, esos libros
jene(r,s)	 éso(m. sg.) ésa(f. sg.) ésos(m.pl) ésas(f.pl ohne Sub.)
wer ist diese Frau dort? Jene? Das ist meine Frau	 ¿quién es esa mujer? ¿Ésa? Es mi mujer
das	 eso
das gefällt mir überhaupt nicht	 eso no me gusta nada
Spanien	 España
spanish	 español
auf Spanish	 en español
der Spanier	 el español
er ist Spanier	 es español
die Spanierin	 la española
sie ist Spanierin	 es española
hoffen / warten	 esperar
ich hoffe, dass er kommt	 espero que venga
warte einen Moment!	 ¡esperate un momento!
die Hoffnung	 la esperanza
der Ehemann	 el esposo
die Ehefrau	 la esposa
Juan ist mit seiner Frau Maria gekommen	 Juan ha venido con su esposa María
die Ecke	 la esquina
biegen Sie um die Ecke	 doble Vd. en la esquina
gleich um die Ecke	 a la vuelta de la esquina
der Bahnhof	 la estación
an welchem Bahnhof kommt der Zug an?	 ¿a qué estación llega el tren?
die Tankstelle	 la estación de servicio
sie hielten an der Tankstelle um zu tanken	 pararon en la estación de servicio para echar gasolina
parken	 estacionar
Parken verboten	 estacionamiento prohibido
sein	 estar
wo bist du?	 ¿dónde estás?
wie geht es dir?	 ¿cómo estás?
wie geht es Ihnen?	 ¿cómo está usted?
diese(r,s)	 este (m. sg.), esta (f. sg.), estos (m. pl.) estas (f. pl.) (+ Sub.)
dieser Mann, diese Männer	 este hombre, estos hombres
diese Frau, diese Frauen	 esta mujer, estas mujeres
dieses Buch, diese Bücher	 este libro, estos libros
diese(r,s)	 éste (m. sg.), está (f. sg.), éstos (m. pl.) éstas (f. pl.) (ohne Sub.)
wem gehören diese Sachen? Diese? Das sind meine	 ¿de quién son estas cosas? Éstas? Son mías
der Osten	 el este
Barcelona liegt östlich von Madrid	 Barcelona está al este de Madrid
das	 esto
das gefällt mir überhaupt nicht	 esto no me gusta nada
der Stern	 la estrella
die Sterne funkeln in der Nacht	 las estrellas brillan en la noche
studieren/lernen	 estudiar
ich studiere an der Universität von Madrid	 estudio en la universidad de Madrid
wie viele Sprachen hast du gelernt?	 ¿cuántos idiomas has estudiado?
der Student	 el estudiante
die Studentin	 la estudiante
und so weiter	 etcétera
lies die Seiten eins, zwei, drei und so weiter	 lee las páginas uno, dos, tres etcétera
außer	 excepto
außer ihr war niemand da	 nadie estuvo aquí excepto ella
sich aufregen	 excitarse
er regte sich auf	 se excitó
aufregend	 excitante
entschuldigen	 excusar(se)
bitte entschuldigen Sie die Störung	 excuse la molestia
ich werde mich bei Ihm entschuldigen	 te excusaré con él
die Entschuldigung	 la excusa
vorhanden sein/existieren	 existir
das gibt es nicht	 eso no existe
die Existenz	 la existencia
erklären	 explicar
können Sie mir das Problem erklären?	 ¿puede Vd. explicarme el problema?
die Erklärung	 la explicación
ich habe keine Erklärung	 no tengo explicación
(sich) wundern, erstaunen	 extrañar(se)
ich wundere mich nicht darüber	 no me extraña
ich wundere mich über sein Verhalten	 me extraña su conducta
das Ausland	 el extranjero
ich gehe ins Ausland	 me voy al extranjero
ausländisch	 extranjero
ein ausländischer Herr	 un señor extranjero
sonderbar/seltsam	 extraño
das ist eine seltsame Sache	 es una cosa extraña
wie sonderbar!	 ¡qué extraño!
das kommt mir komisch vor	 me parece extraño
es ist kein Wunder, dass	 no es extraño que (+ subj.)
leicht	 fácil
das ist nicht leicht	 no es fácil
der (Frauen)Rock	 la falda
sie trägt einen schwarzen Rock	 lleva una falda negra
falsch	 falso
das ist falsch	 esto es falso
der Mangel	 la falta
mangels	 por falta de
ich brauche (es) nicht	 no me hace falta
fehlen, versäumen	 faltar
den Unterricht versäumen	 faltar a clase 
versäumen etw. zu tun	 faltar en hacer
die Familie	 la familia
er hat eine sehr große Familie	 tiene una familia numerosa
der Februar	 febrero
im Februar	 en febrero
am 1./ der 1. Februar	 el primero/uno de febrero
am 15./ der 15. Februar	 el quince de febrero
das Datum/der Termin	 la fecha
zum festgesetzten Datum	 a fecha fija
vom heutigen Datum an	 a partir de esta fecha
mit dem heutigen Datum	 con la fecha de hoy
ein Datum festsetzen	 fijar una fecha
das Glück	 la felicidad
herzliche Glückwünsche!	 ¡muchas felicidades!
glücklich	 feliz (sg.), felizes (pl.)
ein glückliches neues Jahr	 ¡feliz Año Nuevo!
hässlich	 feo
hässlich ist das Gegenteil von schön	 feo es lo contrario de bonito
das Fieber	 la fiebre
er bekam hohes Fieber	 cogió una fiebre alta
der Feiertag, das Fest	 la fiesta
ein Fest veranstalten	 organizar una fiesta
sich vorstellen	 figurarse
stell dir mal vor!	 ¡figúrate!
das Ende	 el fin
das Wochenende	 el fin de semana
Ende November	 a fines de noviembre/a finales de noviembre
schließlich	 al fin
die Blume	 la flor
Rosen sind schöne Blumen	 las rosas son flores bonitas
kühl	 fresco
es ist kühl	 hace fresco
kalt	 frío
es ist kalt	 es frío
frieren	 tener frío
sich erkälten	 coger frío
die Kälte	 el frío
die (Landes)Grenze	 la frontera
die Grenze zwischen Spanien und Frankreich	 la frontera entre España y Francia
das Feuer	 el fuego
Feuer machen	 hacer fuego
etw. in Brand stecken	 poner algo al fuego
haben Sie Feuer?	 ¿tiene Vd. fuego?
(dr)außen	 fuera
außerhalb des Hauses	 fuera de la casa
hinaus!	 ¡fuera!
stark, kräftig	 fuerte
stark ist das Gegenteil von schwach	 fuerte es lo contrario de débil
rauchen	 fumar
Rauchen verboten	 se prohíbe fumar
die Zukunft	 el futuro
in (der) Zukunft	 en el futuro
die Brille	 las gafas
Sonnenbrille	 gafas de sol
Brille tragen	 llevar gafas
gewinnen	 ganar
er gewann zehn Millionen in der Lotterie	 ganó diez millones a la lotería
der Gewinner, der Sieger	 el vencedor
die Lust	 las ganas
ich habe keine Lust, es zu tun	 no tengo ganas de hacerlo
die Garage	 el garaje
das Auto in der Garage aufbewahren	 guardar el coche en el garaje
das Benzin	 la gasolina
tanken	 echar gasolina
ausgeben	 gastar
ich habe viel Geld ausgegeben	 he gastado mucho dinero
die Katze	 el gato
wir haben eine Katze namens Sultan	 tenemos un gato que se llama Sultán
die Leute	 la gente
die Leute sind vor einigen Minuten angekommen	 le genta ha llegado hace unos minutos
schlagen	 golpear
er hat den Hund geschlagen	 he golpeado al perro
die Gnade, der Spaß	 la gracia
das macht ihm Spaß	 le hace gracia
danke	 gracias
vielen Dank!	 ¡muchas gracias!
danke, gleichfalls	 gracias igualmente
Gott sei Dank	 Gracias a dios
groß	 grande (m., f.), gran (vor Sub. im Sing.)
das Haus ist groß	 la casa es grande
schreien	 gritar
jn. anschreien	 gritar a alg.
er schrie mich an	 me ha gritado
der Schrei	 el grio
die Gruppe	 el grupo
eine Gruppe Schüler	 un grupo de alumnos
gruppenweise	 por grupos
hübsch	 guapo
sie ist eine hübsche Frau	 es una mujer guapa
behalten	 guardar
Sie können das Buch behalten	 puede guardar el libro
der Polizist	 el guardia
er wurde von einem Polizisten verhaften	 fue detenido por un guardia
der Krieg	 la guerra
Krieg führen	 hacer la guerra
gefallen, schmecken	 gustar
ich lese gern	 me gusta leer
ich mag dich	 me gustas
schmeckt dir das Essen?	 ¿te gusta la comida?
der Gefallen, der Geschmack	 el gusto
sehr gern!	 ¡con mucho gusto!
sehr erfreut Sie kennen zu lernen	 mucho/tanto gusto de conocerle
haben	 haber
ich habe einen Brief geschrieben	 he escrito una carta
müssen	 haber de
wir müssen sofort abreisen	 hemos de partir en seguida
das Zimmer	 la habitación
ich habe mein eigenens Zimmer	 tengo mi propie habitación
sich an etw. gewöhnen	 habituarse a algo
er gewöhnte sich an diese schwere Arbeit	 se habituó a este trabajo duro
er ist daran gewöhnt	 está habituado a esto
reden/sprechen	 hablar
sprechen Sie Spanish?	 ¿habla Vd. español?
ich habe mit deiner Mutter gesprochen	 he hablado con tu madre
sie sprechen über ihre Ferien	 hablan de sus vacaciones
vor	 hace
vor 2 Jahren	 hace dos años
machen/tun	 hacer
ich weiß nicht, was er gemacht hat	 no sé que ha hecho
es tut mir weh	 me hace daño
nach/gegen	 hacia
nach vorn	 hacia adelante
dorthin/hierher	 hacia allá/aquí
rückwärt	 hacia atras
gegen 1 Uhr	 hacia la una
der Hunger	 el hambre
Hunger haben	 tener hambre
bis	 hasta
bis heute	 hasta hoy
auf Wiedersehen!	 ¡hasta la vista!
bis dann!	 ¡hasta luego!
bis hierher	 hasta aquí
es gibt	 hay
was gibt's?, was ist los?	 ¿qué hay?
man muss	 hay que
man muss arbeiten	 hay que trabajar
die Tatsache	 el hecho
die Erde dreht sich um die Sonne, das ist eine Tatsache	 la tierra gira alrededor del sol, esto es un hecho
das Eis	 el helado
magst du Schokoladeneis?	 ¿te gusta el helado de chocolate?
gefroren	 helado
verwunden, verletzen	 herir
er wurde bei einem Unfall verletzt	 fue herido en un accidente
die Verletzung	 la herida
der Bruder	 el hermano
die Schwester	 la hermana
ich habe zwei Brüder und zwei Schwestern	 tengo dos hermanos y dos hermanas
die Geschwister	 los hermanos
der Sohn	 el hijo
die Tochter	 la hija
diese Frau hat zwei Söhne und zwei Töchter	 esta mujer tiene dos hijos y dos hijas
hallo!	 ¡hola!
hallo! Wie geht's?	 ¡hola! ¿Qué tal?
der Mann/der Mensch	 el hombre
Juan ist ein netter Mann	 Juan es un hombre amable
Mann! Was sagst du mir da?	 ¡hombre!¿Qué me dices?
tief	 hondo
das ist ein tiefer Brunnen	 es un pozo hondo
die Uhr/die Stunde	 la hora
wie viel Uhr ist es? Es ist ein Uhr	 ¿qué hora es? Es la una
wie viel Uhr ist es? Es ist zwei Uhr	 ¿qué hora es? Es las dos
der Fahrplan	 el horario
Winter-/Sommerfahrplan	 horario de invierno/verano
das Krankenhaus	 el hospital
ins Krankenhaus einliefern	 llevar al hospital
ins Krankenhaus eingeliefert werden	 ingresar en el hospital
das Hotel	 el hotel
"wir werden unsere Ferien im Hotel ""Corona"" verbringen"	" pasaremos las vacaciones en el hotel ""Corona"""
heute	 hoy
bis heute	 hasta hoy
von heute an	 desde hoy
von heute an	 de hoy en adelante
heute noch	 hoy mismo
von heute auf morgen	 de hoy a mañana
das Ei	 el huevo
weich gekochtes Ei	 el huevo pasado por agua
hart gekochtes Ei	 el huevo duro
stehlen	 hurtar
du sollst nicht stehlen!	 ¡no hurtarás!
der Diebstahl	 el hurto
die Idee / der Gedanke	 la idea
ich habe keine Ahnung	 no tengo idea
die Sprache	 la idioma
welche Sprachen sprechen Sie?	 ¿qué idiomas habla Vd.?
die Kirche	 la iglesia
zur/in die Kirche gehen	 ir a la iglesia
gleich	 igual
mir ist es gleich	 me es igual
das Bild	 la imagen
Gott schuf den Menschen Nach seinem Ebenbild	 Dios hizo al hombre a su imagen
sich vorstellen	 imaginarse
können Sie sich das vorstellen?	 ¿puede Vd. imaginarse esto?
stellen Sie sich nur vor!	 ¡imaginese!
die Vorstellung	 la imaginación
wichtig, bedeutend	 importante
wichtig sein	 importa
es ist wichtig, dass	 importa que
das macht nichts!	 ¡no importa!
was geht ihn das an?	 ¿qué le importa a él?
die Wichtigkeit, die Bedeutung	 la importancia
unmöglich	 imposible
es ist unmöglich	 dass, es imposible que (+ subj.)
es ist unmöglich	 dass er kommt, es imposible que venga
unbeschreiblich	 imposible de describir
unglücklich	 infeliz (sg.), infelices (pl.)
Juan ist ein unglücklicher Mann	 Juan es un hombre infeliz
informieren	 informar
er informiert mich, dass sie um 2 Uhr ankommen	 me ha informado que llegan a las dos
gut informiert sein	 estar bien informado
die Information, die Auskunft	 la información
versuchen	 intentar
versuchen etw. zu tun	 intentar hacer algo
ich werde versuchen mit Juan zu sprechen	 intentaré hablar con Juan
(sich) interessieren	 interesar(se)
ich interessiere mich nicht dafür	 no me intereso por eso
das Interesse	 el interés
interessant	 interesante
unterbrechen	 interrumpir
bitte entschuldigen Sie, wenn ich Sie unterbreche	 disculpe usted si le interrumpo
die Unterbrechung	 la interrupción
der Winter	 el invierno
im Winter	 en invierno
einladen	 invitar
ich habe Juan zum Essen eingeladen	 he invitado a Juan a comer
die Einladung	 la invitación
gehen	 ir
ich gehe nach Hause	 voy a casa
ich gehe (weg)	 yo me voy
besuchen	 ir a ver
ich werde meinen Vater besuchen	 iré a ver mi padre
die Insel	 la isla
die balearischen Inseln	 las islas Baleares
die kanarischen Inseln	 las islas Canarias
links	 a la izquierda
die Kirche ist links	 la iglesia está a la izquierda
fahren Sie nach links	 tome Vd. la izquierda
halten Sie sich links	 lleve Vd. la izquierda
halten Sie sich links	  mantengase Vd. a la izquierda
die Seife	 el jabón
Seife ist zum Waschen da	 el jabón sirve para lavar
niemals	 jamás
er hat nie die Wahrheit gesagt	 jamás ha dicho la verdad
er hat nie die Wahrheit gesagt	 no ha dicho jamás la verdad
der Garten	 el jardín
er hat viele Bäume in seinem Garten	 tiene muchos árboles en su jardín
jung	 joven
jung ist das Gegenteil von alt	 joven es lo contrario de viejo
der Donnerstag	 jueves
donnerstags	 los jueves
nächsten Donnerstag	 el próximo jueves
nächsten Donnerstag	 el jueves que viene
letzten Donnerstag	 el jueves pasado
jeden Donnerstag	 cada jueves
spielen	 jugar
Fußball spielen	 jugar al fútbol
das Spiel	 el juego
der Saft	 el jugo
Obstsaft	 jugo de fruta
Orangensaft	 jugo de naranja
der Juli	 julio (m.)
im Juli	 en julio
am/der 1. Juli	 el primero/uno de julio
am/der 15. Juli	 el quince de julio
der Juni	 junio
im Juni	 en junio
der 1./am 1. Juni	 el primero/uno de junio
der 15./am 15. Juni	 el quince de junio
neben, bei	 junto a 
er lebt in der Nähe von Madrid	 vive junto a Madrid
neben dir	 junto a ti
zusammen	 juntos
alle zusammen	 todos juntos
sie werden zusammen nach Madrid gehen	 irán juntos a Madrid
richtig, genau	 justo
im richtigen Augenblick	 en el momento justo
genau!, stimmt!	 ¡justo!
die Seite	 el lado
auf der anderen Seite der Kirche	 al otro lado de la iglesia
nirgends	 por ningún lado
neben	 al lado de
der Bahnhof ist neben der Kirche	 la estación está al lado de la iglesia
der See	 el lago
wir haben den See in einem Boot überquert	 hemos atravesado el lago en un barco
die Lampe	 la lámpara
die Lampe beleuchtet das Zimmer	 la lámpara alumbra la habitación
der Bleistift	 el lápiz
den Bleistift benutzt man um zu Schreiben	 el lápiz se usa para escribir
lang	 largo
dieses Kleidungsstück ist ziemlich lang	 ese vestido es demasiado largo
dieser Film ist ziemlich lang	 ese película es demasiado larga
waschen	 lavar
er wusch sich die Hände	 se lavó las manos
das Geschirr spülen	 lavar los platos
die Milch	 la leche 
die Milch kocht	 la leche está cociendo
ich trinke einen Kaffee mit Milch	 tomo un café con leche
lesen	 leer
ich lese ein Buch	 leo un libro
fren, weit weg	 lejos
der Flughafen ist weit vom Zentrum weg	 el aeropuerto está lejos del centro
langsam	 lento
er hat langsam gesprochen	 ha hablado lentamente
schwer von Begriff	 lento para comprender
auf-,erheben	 levantar
der hob den Kopf	 levantó la cabeza
aufstehen	 levantarse
ich stehe jeden Tag um 6 Uhr auf	 me levanto cada día a las seis
frei	 libre
freier Eintritt	 entrada libre
das Buch	 el libro
ich lese ein Buch	 leo un libro
leicht	 ligero
ein leichtes Gewicht	 un peso ligero
sauber	 limpio
ich habe sauberer Hände	 tengo las manos limpias
hübsch, nett	 lindo
eine hübsche Bluse	 una blusa linda
wie schön!	 ¡qué lindo!
die Linie	 la línea
eine Linie ziehen	 tirar una línea
die Liste	 la lista
die Speisekarte	 la lista de platos
fertig, bereit	 listo
es ist alles bereit	 todo está listo
verrückt	 loco
außer sich sein vor Wut	 estar loco de cólera
es ist zum Verrücktwerden	 es para volverse loco
verrückt machen/werden	 volver/volverse loco
kämpfen	 luchar
sie kämpfen gegen den Feind	 lucharon contra el enemigo
der Kampf	 la lucha
sogleich, nachher	 luego
bis nachher	 hasta luego
der Ort, der Platz, die Stelle	 el lugar
wo findet das Konzert statt?	 ¿dónde tiene lugar el concierto?
an erster/zweiter Stelle	 en primer/segundo lugar
anstatt, an Stelle von	 en lugar de
anstelle meiner Mutter gehe ich	 voy yo en lugar de mi madre
der Mond	 la luna
der Mond dreht sich um die Erde	 la luna gira alrededor de la tierra
der Montag	 el lunes
montags	 los lunes
nächsten Montag	 el próximo lunes
nächsten Montag	 el lunes que viene
letzten Montag	 el lunes pasado
jeden Montag	 cada lunes
das Licht	 la luz
schalt das Licht aus	 apaga la luz
schalt das Licht ein	 enciende la luz
die Ampel	 la luz del tráfico
sie haben die Ampel abgeschlatet	 han apagado las luces del tráfico
rufen	 llamar
er rief meinen Namen	 me llamó por mi nombre
anrufen	 llamar por teléfono
er rief mich an	 me llamaba por teléfono
heißen	 llamarse
wie heißt du? Ich heiße Miguel	 ¿cómo te llamas? Me llamo Miguel
der Schlüssel	 la llave
ich habe meinen Schlüssel vergessen	 he olvidado la llave
ankommen, eintreffen	 llegar
wir sind rechtzeitig angekommen	 hemos llegado a tiempo
der Zug hat Verspätung	 el tren llega con retraso
die Ankuft	 la llegada
voll	 lleno
das Glas ist voll	 el vaso está lleno
mitbringen, tragen	 llevar
hast du das Buch mitgebracht?	 ¿has llevado el libro?
hast du etwas Geld bei dir?	 ¿llevas un poco dinero contigo?
sie trägt eine Bluse	 lleva una blusa
er ist fünf Jahre älter als ich	 me lleva cinco años 
weinen	 llorar
vor Schmerz/Freude weinen	 llorar de pena/gozo
um jn. weinen	 llorar por alg.
regnen	 llover
es regnet in Strömen	 llueve a cántaros
der Regen	 la lluvia
die Mutter	 la madre
diese Frau ist meine Mutter	 esa mujer es mi madre
mein Gott	 ¡madre mía!
der Lehrer	 el maestro
die Lehrerin	 la maestra
die Lehrerin meines Sohnes heißt Frau García	 la maestra de mi hijo se llama señora García 
schlecht, schlimm	 mal
er benimmt sich schlecht	 se porta mal
der Koffer	 la maleta
den Koffer packen	 hacer la maleta
die Art, die Weise	 la manera
so, in dier Weise	 de tal manera
so dass	 de manera que (+subj.)
keineswegs	 de ninguna manera
die Hand	 la mano
zu Hand haben	 tener a mano
handgemacht	 hecho a mano
aus zweiter Hand, gebraucht	 de segunda mano
die Butter	 la mantequilla, la manteca
ich esse gerne Butterbrot	 me gust el pan con mantequilla
der Apfel	 la manzana
Äpfel sind mein Lieblingsobst	 la manzana es mi fruta favorita
der Morgen, morgen	 la mañana
heute morgen	 esta mañana
am Morgen, morgens	 por la mañana
morgen früh	 mañana por la mañana
übermorgen	 pasado mañana
das Meer	 el mar
die Nordsee	 el Mar del Norte
die Ostsee	 el Mar Báltico
das Mittelmeer	 el Mar Mediterráneo
der Ehemann	 el marido
Maria ist mit ihrem Ehemann Juan gekommen	 María ha venido con su marido Juan
braun	 marrón
sie trägt eine braune Bluse	 lleva una blusa marrón
der Dienstag	 martes
dienstags	 los martes
nächsten Dienstag	 el próximo martes
nächsten Dienstag	 el martes que viene
letzten Dienstag	 el martes pasado
jeden Dienstag	 cada martes
der März	 marzo
im März	 en marzo
der 1./am 1. März	 el primero/uno de marzo
der 15./am 15. März	 el quince de marzo
aber	 mas
ich kam nicht aber meine Schwester	 yo no vine mas mi hermana sí
mehr	 más
gib mir mehr	 dame más
mehr als fünf	 más de cinco
mehr oder weniger	 más o menos
töten	 matar
er hat seine Ehefrau getötet	 ha matado a su esposa
der Mai	 mayo
im Mai	 en mayo
der 1./am 1. Mai	 el primero/undo de mayo
der 15./am 15. Mai	 el quince de mayo
halb	 medio 
es ist halb 12	 son las once y media
eine halbe Stunde	 media hora
die Mitternacht	 la medianoche
um Mitternacht	 a medianoche
der Mittag	 el mediodía
heute Mittag	 este mediodía
besser	 mejor
umso besser	 tanto mejor
geringer, kleiner, jünger	 menor
diese Zahl ist kleiner als jene	 este número es menor que ese
mein jüngerer Bruder	 mi hermano menor
weniger	 menos
wenigstens	 al/por lo menos
mehr oder weniger	 más o menos
die Botschaft, die Mitteilung	 el mensaje
ich habe eine sehr wichtige Nachricht	 tengo un mensaje muy importante
lügen	 mentir
du hast mich angelogen	 me has mentido
die Lüge	 la mentira
unglaublich	 ¡parece mentira!
die Speisekarte	 el menú
Herr Ober, die Speisekarte bitte	 camarero, el menú por favor
der Markt	 el mercado
ich gehe auf den Markt, um Einkäufe zu machen	 voy al mercado a hacer las compras
der Monat	 el mes
jeden Monat	 cada mes 
nächsten Monat	 el mes próximo
letzten Monat	 el mes pasado
den Wievielten haben wir heute?	 ¿a qué día del mes estamos?
der Tisch	 la mesa
sich zu Tisch setzen	 ponerse a la mesa
den Tisch decken	 poner la mesa
hineinlegen, -stecken	 meter
in die Tasche stecken	 meter en bolsillo
die Angst	 el miedo
ich fürchte mich vor Hunden	 tengo miedo a los perros
ich bekomme Angst	 me entra miedo
Angst haben	 temer
der Mittwoch	 el miércoles
mittwochs	 los miércoles
nächsten Mittwoch	 el próximo miércoles
nächsten Mittwoch	 el miércoles que viene
letzten Mittwoch	 el miércoles pasado
jeden Mittwoch	 cada miércoles
tausend	 mil
tausendeins	mil uno 
tausenddreiundfünfzig	 mil cincuenta y tres
tausendsechshundertvierundvierzig	 cuarenta y cuatro
zweitausend	 dos mil
zweitausenddrei...	 dos mil tres...
die Minute	 el minuto
es ist 20 Minuten vor 12	 son las doce menos veinte (minutos)
es ist 20 Minuten nach 12	 son las doce y veinte (minutos)
in einer Minute	 en un minuto
(an)schauen/ (an)sehen	 mirar
sieh mal!	 ¡mira!
zum Fenster hinaussehen	 mirar por la ventana
gleich, selbst	 mismo
das ist das Gleiche	 es lo mismo
mir ist es gleich	 me da lo mismo
heute noch	 hoy mismo
soeben, gleich	 ahora mismo
er selbst	 él mismo
derselbe	 el mismo
die Art, die Weise	 el modo
so, auf diese Weise	 de tal modo
auf alle Fälle	 de todos modos
nass	 mojado
ich bin ganz nass	 estoy mojado
belästigen, stören	 molestar
stört es Sie, wenn ich rauche?	 ¿le mosta que fume?
die Belästigung	 la molestia
lästig, ärgerlich	 molesto
der Augenblick	 el momento
sofort	 al momento
zurzeit	 por el/de momento
der Geldbeutel	 el monedero
ich kann nicht bezahlen, weil ich meinen Geldbeutel vergessen habe	 no puedo pagar porque he olvidado mi monedero
der Berg	 la montaña
ich werde meine Ferien in den Bergen verbringen	 voy a pasar las vacaciones en la montaña
sterben	 morir
er starb jung	 murió joven
vor Kälte sterben	 morir de frío
der Tod	 la muerte
tot, gestorben	 muerto
zeigen	 mostrar
können Sie mir bitte den Weg zur Kirche zeigen?	 ¿puede Vd. mostrarme el camino a la iglesia por favor?
das Motorrad	 la motocicleta
Motorrad fahren	 ir en motocicleta
bewegen	 mover
beweg dich, es ist spät!	 ¡muévete, es tarde!
die Bewegung	 el movimiento
der Junge/der Bursche	 el muchacho
das Mädchen	 la muchacha
Juan ist ein netter Junge	 Juan es un muchacho amable
viel	 mucho
wir haben nicht vie Zeit	 no tenemos mucho tiempo
er hat viele Freunde	 tiene muchos amigos
sie hat viele Freundinnen	 tiene muchas amigas
die Frau	 la mujer
Maria ist eine nette Frau	 María es una mujer amable
die Welt	 el mundo
auf der ganzen Welt	 en todo el mundo
die Musik	 la música
wir machen Musik	 hacemos música
sehr	 muy
ich bin sehr glücklich	 estoy muy feliz
geboren werden	 nacer
er ist 1980 geboren	 nació en 1980
nichts	 nada
ich kann nichts mehr sehen	 no puedo ver nada
nichts mehr	 nada más
vielen Dank für Ihre Hilfe. Bitte, gern geschehen	 muchas gracias por su ayuda. De nada
schwimmen	 nadar
er ist über den Fluss geschwommen	 ha nadado a través del río
